title,author,genres
King of Greed Kings of Sin 3,"Huang, Ana *","['Romance', 'Contemporary Romance', 'Contemporary', 'Adult', 'Fiction', 'New Adult', 'Fantasy']"
The Christmas Appeal The Appeal 15,"Hallett, Janice","['Mystery', 'Christmas', 'Fiction', 'Holiday', 'Crime', 'Mystery Thriller', 'Cozy Mystery']"
Wife for Hire Elsie Hawkins 3,"Evanovich, Janet *","['Romance', 'Chick Lit', 'Fiction', 'Contemporary Romance', 'Humor', 'Contemporary', 'Mystery']"
In Their Footsteps Tavistock Family 1,"Gerritsen, Tess *","['Mystery', 'Thriller', 'Crime', 'Fiction', 'Romance', 'Suspense', 'Mystery Thriller']"
No Country for Old Men,"McCarthy, Cormac","['Fiction', 'Thriller', 'Westerns', 'Crime', 'Mystery', 'Literature', 'Novels']"
Sweetness in the Belly,"Gibb, Camilla *","['Fiction', 'Africa', 'Historical Fiction', 'Canada', 'Ethiopia', 'Religion', 'Islam']"
Bit the Jackpot Vegas Vampires 2,"McCarthy, Erin *","['Paranormal Romance', 'Paranormal', 'Vampires', 'Romance', 'Chick Lit', 'Fantasy', 'Adult']"
The Idiot,"Dostoevsky, Fyodor","['Fiction', 'Russia', 'Russian Literature', 'Literature', 'Classics', 'Philosophy', 'Novels']"
Girl of Nightmares Anna 2,"Blake, Kendare *","['Young Adult', 'Horror', 'Paranormal', 'Fantasy', 'Ghosts', 'Romance', 'Supernatural']"
Hero,"Moore, Perry","['Young Adult', 'LGBT', 'Fantasy', 'Fiction', 'Superheroes', 'Queer', 'Gay']"
Burr,"Vidal, Gore","['Historical Fiction', 'Fiction', 'Politics', 'American History', 'Historical', 'Novels', 'American']"
By Blood,"Ullman, Ellen","['Fiction', 'Historical Fiction', 'Mystery', 'Literary Fiction', 'Novels', 'Contemporary', 'Historical']"
Hemlock Grove,"McGreevy, Brian *","['Horror', 'Fantasy', 'Fiction', 'Paranormal', 'Werewolves', 'Vampires', 'Mystery']"
Captive in the Dark The Dark Duet 1,"Roberts, C.J. *","['Dark', 'Romance', 'BDSM', 'Adult', 'Contemporary', 'Abuse', 'Erotica']"
Swallows and Amazons Swallows and Amazons 1,"Ransome, Arthur","['Classics', 'Fiction', 'Childrens', 'Adventure', 'Young Adult', 'Middle Grade', 'Historical Fiction']"
Visions of Gerard,"Kerouac, Jack","['Fiction', 'Classics', 'Novels', 'American', 'Literature', '20th Century', 'Collections']"
Carnage LORDS 5,"Tessier, Shantel *","['Dark', 'Romance', 'BDSM', 'Erotica', 'College', 'Contemporary', 'Adult']"
Barchester Towers Chronicles of Barsetshire 2,"Trollope, Anthony","['Classics', 'Fiction', 'Victorian', '19th Century', 'Historical Fiction', 'Literature', 'British Literature']"
The Capture Animorphs 6,"Applegate, K.A.","['Science Fiction', 'Young Adult', 'Fiction', 'Fantasy', 'Childrens', 'Middle Grade', 'Aliens']"
The Encounter Animorphs 3,"Applegate, K.A.","['Science Fiction', 'Young Adult', 'Fiction', 'Fantasy', 'Childrens', 'Middle Grade', 'Aliens']"
The Initiate Time Master 1,"Cooper, Louise","['Fantasy', 'Fiction', 'Science Fiction Fantasy', 'High Fantasy', 'Epic Fantasy', 'Science Fiction', 'Young Adult']"
The Outcast Time Master 2,"Cooper, Louise","['Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy', 'Young Adult', 'Heroic Fantasy']"
The Predator Animorphs 5,"Applegate, K.A.","['Science Fiction', 'Young Adult', 'Fiction', 'Fantasy', 'Childrens', 'Middle Grade', 'Aliens']"
Rosie,"Lamott, Anne *","['Fiction', 'Contemporary', 'Novels', 'Adult Fiction', 'Family', 'Literary Fiction', 'Adult']"
Mother Night,"Vonnegut Jr., Kurt","['Fiction', 'Classics', 'Historical Fiction', 'War', 'Literature', 'Novels', 'Humor']"
The Indian in the Cupboard The Indian in the Cupboard 1,"Banks, Lynne Reid","['Fantasy', 'Childrens', 'Fiction', 'Young Adult', 'Classics', 'Middle Grade', 'Juvenile']"
The Key to the Indian The Indian in the Cupboard 5,"Banks, Lynne Reid","['Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Time Travel']"
The Indian In The Cupboard Trilogy,"Banks, Lynne Reid","['Fantasy', 'Fiction', 'Childrens', 'Adventure', 'Young Adult', 'School', 'Classics']"
Sterling Mageri 1 Mageriverse 1,"Dark, Dannika *","['Fantasy', 'Paranormal', 'Urban Fantasy', 'Magic', 'Paranormal Romance', 'Romance', 'Vampires']"
Mallory on the Move Mallory McDonald 1,"Friedman, Laurie B. *","['Realistic Fiction', 'Childrens', 'Fiction', 'Middle Grade', 'Chapter Books', 'Family', 'Juvenile']"
The Night in Lisbon,"Remarque, Erich Maria","['Fiction', 'Classics', 'Historical Fiction', 'War', 'German Literature', 'Novels', 'Germany']"
The Bakers Daughter,"McCoy, Sarah *","['Historical Fiction', 'Fiction', 'World War II', 'Historical', 'Holocaust', 'War', 'Germany']"
The Luxe Luxe 1,"Godbersen, Anna","['Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Fiction', 'Historical Romance', 'Chick Lit']"
The Blindfold,"Hustvedt, Siri","['Fiction', 'Contemporary', 'New York', 'American', 'The United States Of America', 'Literary Fiction', 'Novels']"
What I Loved,"Hustvedt, Siri","['Fiction', 'Contemporary', 'Art', 'Literary Fiction', 'The United States Of America', 'Novels', 'New York']"
Stealing Parker,"Kenneally, Miranda *","['Young Adult', 'Romance', 'Contemporary', 'Sports', 'High School', 'Realistic Fiction', 'Chick Lit']"
Things I Cant Forget,"Kenneally, Miranda *","['Young Adult', 'Romance', 'Contemporary', 'Realistic Fiction', 'Chick Lit', 'High School', 'Young Adult Romance']"
Youre a Bad Man Mr Gum Mr Gum 1,"Stanton, Andy","['Childrens', 'Fiction', 'Humor', 'Middle Grade', 'Fantasy', 'Novels', 'Chapter Books']"
The Half Brother,"Christensen, Lars Saabye","['Fiction', 'Scandinavian Literature', 'Novels', 'Contemporary', 'Literature', 'Historical Fiction', 'Roman']"
Herman,"Christensen, Lars Saabye","['Fiction', 'Scandinavian Literature', 'Young Adult', 'Contemporary', 'Childrens', 'School', '20th Century']"
The Haunted School Goosebumps 59,"Stine, R.L. *","['Horror', 'Fiction', 'Childrens', 'Middle Grade', 'Young Adult', 'Fantasy', 'Mystery']"
Beware the Snowman Goosebumps 51,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Middle Grade', 'Young Adult', 'Fantasy', 'Mystery']"
Dont Go to Sleep Goosebumps 54,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Middle Grade', 'Young Adult', 'Fantasy', 'Thriller']"
It Came from Beneath the Sink Goosebumps 30,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Middle Grade', 'Young Adult', 'Fantasy', 'Mystery']"
Welcome to Camp Nightmare  Goosebumps 9,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Fantasy', 'Mystery']"
Deep Trouble Goosebumps 19,"Stine, R.L.","['Horror', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Fantasy', 'Mystery']"
One Day at Horrorland Goosebumps 16,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Middle Grade', 'Young Adult', 'Fantasy', 'Mystery']"
Goosebumps 56 The Curse of Camp Cold Lake,"Stine, R.L. *","['Horror', 'Childrens', 'Middle Grade', 'Fiction', 'Young Adult', 'Fantasy', 'Mystery']"
Stay Out of the Basement  Goosebumps 2,"Stine, R.L. *","['Horror', 'Fiction', 'Childrens', 'Middle Grade', 'Young Adult', 'Fantasy', 'Mystery']"
Ghost Beach  Goosebumps 22,"Stine, R.L. *","['Horror', 'Fiction', 'Childrens', 'Young Adult', 'Fantasy', 'Middle Grade', 'Paranormal']"
The Scarecrow Walks at Midnight Goosebumps 20,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Fantasy', 'Mystery']"
Be Careful What You Wish For Goosebumps 12,"Stine, R.L. *","['Horror', 'Fiction', 'Childrens', 'Young Adult', 'Middle Grade', 'Fantasy', 'Mystery']"
Phantom of the Auditorium Goosebumps 24,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Fantasy', 'Mystery']"
The Bonesetters Daughter,"Tan, Amy *","['Fiction', 'Historical Fiction', 'China', 'Historical', 'Contemporary', 'Asian Literature', 'Adult']"
Night of the Living Dummy III Goosebumps 40,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Fantasy', 'Paranormal']"
Welcome to Dead House Goosebumps 1,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Middle Grade', 'Young Adult', 'Fantasy', 'Paranormal']"
Bride of the Living Dummy Goosebumps Series 2000 2,"Stine, R.L. *","['Horror', 'Fiction', 'Childrens', 'Middle Grade', 'Fantasy', 'Thriller', 'Novels']"
How to Kill a Monster Goosebumps 46,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Fantasy', 'Novels']"
Piano Lessons Can Be Murder Goosebumps 13,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Fantasy', 'Mystery']"
Lets Get Invisible Goosebumps 6,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Fantasy', 'Mystery']"
Night of the Living Dummy Goosebumps 7,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Fantasy', 'Mystery']"
The Kitchen Gods Wife,"Tan, Amy *","['Fiction', 'Historical Fiction', 'China', 'Asia', 'Contemporary', 'Asian Literature', 'Historical']"
How I Got My Shrunken Head Goosebumps 39,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Fantasy', 'Mystery']"
Egg Monsters from Mars Goosebumps 42,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Middle Grade', 'Young Adult', 'Fantasy', 'Novels']"
The Girl Who Cried Monster Goosebumps 8,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Middle Grade', 'Young Adult', 'Fantasy', 'Mystery']"
Splintered Splintered 1,"Howard, A.G. *","['Fantasy', 'Young Adult', 'Retellings', 'Romance', 'Magic', 'Paranormal', 'Fiction']"
Why Im Afraid of Bees Goosebumps 17,"Stine, R.L. *","['Horror', 'Fiction', 'Childrens', 'Young Adult', 'Middle Grade', 'Fantasy', 'Mystery']"
The Horror at Camp Jellyjam  Goosebumps 33,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Middle Grade', 'Young Adult', 'Fantasy', 'Thriller']"
Attack of the Mutant Goosebumps 25,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Fantasy', 'Mystery']"
The Curse of the Mummys Tomb Goosebumps 5,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Fantasy', 'Mystery']"
Monster Blood III Goosebumps 29,"Stine, R.L. *","['Horror', 'Fiction', 'Childrens', 'Young Adult', 'Fantasy', 'Middle Grade', 'Mystery']"
The Headless Ghost Goosebumps 37,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Fantasy', 'Mystery']"
The Barking Ghost Goosebumps 32,"Stine, R.L. *","['Horror', 'Fiction', 'Childrens', 'Middle Grade', 'Young Adult', 'Fantasy', 'Paranormal']"
You Cant Scare Me Goosebumps 15,"Stine, R.L. *","['Horror', 'Fiction', 'Childrens', 'Young Adult', 'Middle Grade', 'Fantasy', 'Mystery']"
Say Cheese and Die Goosebumps 4,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Middle Grade', 'Young Adult', 'Fantasy', 'Mystery']"
Say Cheese and DieAgain Goosebumps 44,"Stine, R.L. *","['Horror', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Fantasy', 'Thriller']"
Night School Night School 1,"Daugherty, C.J. *","['Young Adult', 'Fantasy', 'Mystery', 'Romance', 'Paranormal', 'Fiction', 'Thriller']"
Double Clutch Brenna Blixen 1,"Reinhardt, Liz *","['Young Adult', 'Romance', 'Contemporary', 'High School', 'New Adult', 'Chick Lit', 'Realistic Fiction']"
Obsidian Lux 1,"Armentrout, Jennifer L. *","['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Aliens', 'Science Fiction', 'Paranormal Romance']"
Mind Games Mind Games 1,"White, Kiersten *","['Young Adult', 'Paranormal', 'Fantasy', 'Science Fiction', 'Dystopia', 'Fiction', 'Romance']"
The Lemonade War The Lemonade War 1,"Davies, Jacqueline","['Realistic Fiction', 'Middle Grade', 'Fiction', 'Childrens', 'Juvenile', 'Chapter Books', 'Young Adult']"
The Billionaire Wins the Game Billionaire Bachelors 1,"Anne, Melody *","['Romance', 'Contemporary', 'Contemporary Romance', 'Chick Lit', 'Adult', 'Fiction', 'Erotica']"
The Optimists Daughter,"Welty, Eudora","['Fiction', 'Classics', 'Southern', 'Novels', 'Literature', 'Literary Fiction', 'American']"
Deception Ollie Chandler 3,"Alcorn, Randy *","['Christian Fiction', 'Fiction', 'Mystery', 'Christian', 'Suspense', 'Spirituality', 'Novels']"
A Boy of Good Breeding,"Toews, Miriam","['Fiction', 'Canada', 'Contemporary', 'Humor', 'Canadian Literature', 'Literary Fiction', 'Novels']"
Summer of My Amazing Luck,"Toews, Miriam","['Fiction', 'Canada', 'Contemporary', 'Novels', 'Humor', 'Canadian Literature', 'Literary Fiction']"
Industrial Magic Women of the Otherworld 4,"Armstrong, Kelley *","['Urban Fantasy', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Witches', 'Magic']"
Dime Store Magic Women of the Otherworld 3,"Armstrong, Kelley *","['Urban Fantasy', 'Fantasy', 'Paranormal', 'Romance', 'Witches', 'Paranormal Romance', 'Magic']"
Black  Ugly,"Styles, T. *","['African American', 'Urban', 'Adult']"
Delta Wedding,"Welty, Eudora","['Fiction', 'Classics', 'Southern', 'Historical Fiction', 'Novels', 'American', '20th Century']"
White The Great Pursuit The Circle 3,"Dekker, Ted *","['Fantasy', 'Christian Fiction', 'Fiction', 'Christian', 'Thriller', 'Science Fiction', 'Adult']"
Black The Birth of Evil The Circle 1,"Dekker, Ted *","['Fantasy', 'Fiction', 'Christian Fiction', 'Christian', 'Thriller', 'Science Fiction', 'Mystery']"
Skin,"Dekker, Ted *","['Christian Fiction', 'Fiction', 'Thriller', 'Christian', 'Horror', 'Mystery', 'Fantasy']"
Heavens Wager Martyrs Song 1,"Dekker, Ted *","['Christian Fiction', 'Fiction', 'Christian', 'Thriller', 'Mystery', 'Fantasy', 'Suspense']"
Obsessed,"Dekker, Ted *","['Christian Fiction', 'Fiction', 'Thriller', 'Christian', 'Suspense', 'Mystery', 'Mystery Thriller']"
Thr3e,"Dekker, Ted *","['Fiction', 'Christian Fiction', 'Thriller', 'Mystery', 'Christian', 'Suspense', 'Horror']"
Mist Over The Mersey,"Andrews, Lyn","['Fiction', 'Romance']"
Hannas Daughters,"Fredriksson, Marianne","['Fiction', 'Historical Fiction', 'Sweden', 'Roman', 'Scandinavian Literature', 'Swedish Literature', 'Historical']"
The Tycoons Revenge Baby for the Billionaire 1,"Anne, Melody *","['Romance', 'Contemporary', 'Contemporary Romance', 'Erotica', 'Adult', 'Fiction', 'Chick Lit']"
Oh Shit Not Again,"Kokate, Mandar","['Fiction', 'Indian Literature', 'Novels', 'Romance', 'Humor', 'India', 'Contemporary']"
The Incredible Banker,"Subramanian, Ravi *","['Fiction', 'Thriller', 'India', 'Indian Literature', 'Banking', 'Crime']"
Hotel Honolulu,"Theroux, Paul","['Fiction', 'Travel', 'Novels', 'Literature', 'Humor', 'Literary Fiction', 'Contemporary']"
The Lost Prince The Iron Fey Call of the Forgotten 1,"Kagawa, Julie *","['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Fae', 'Fairies', 'Magic']"
Revolution 2020 Love Corruption Ambition,"Bhagat, Chetan","['Fiction', 'Romance', 'Indian Literature', 'India', 'Contemporary', 'Novels', 'Young Adult']"
Mythago Wood Mythago Wood 1,"Holdstock, Robert","['Fantasy', 'Fiction', 'Mythology', 'Horror', 'Urban Fantasy', 'Classics', 'Science Fiction Fantasy']"
Grave Memory Alex Craft 3,"Price, Kalayna *","['Urban Fantasy', 'Fantasy', 'Paranormal', 'Magic', 'Fae', 'Romance', 'Witches']"
The Loners Quarantine 1,"Thomas, Lex *","['Young Adult', 'Dystopia', 'Science Fiction', 'Horror', 'Fiction', 'Post Apocalyptic', 'Survival']"
The Road to Omaha Road to 2,"Ludlum, Robert","['Fiction', 'Thriller', 'Humor', 'Mystery', 'Adventure', 'Suspense', 'Espionage']"
Maggie for Hire Maggie MacKay Magical Tracker 1,"Danley, Kate *","['Urban Fantasy', 'Fantasy', 'Paranormal', 'Vampires', 'Magic', 'Mystery', 'Fae']"
Trick or Treat Point Horror 6,"Cusick, Richie Tankersley","['Horror', 'Young Adult', 'Halloween', 'Mystery', 'Fiction', 'Thriller', 'Teen']"
Goddess Interrupted Goddess Test 2,"Carter, Aimee *","['Mythology', 'Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Greek Mythology', 'Fiction']"
Purple Hibiscus,"Adichie, Chimamanda Ngozi","['Fiction', 'Africa', 'Historical Fiction', 'Nigeria', 'Contemporary', 'Literary Fiction', 'African Literature']"
Wicked Celestra 4,"Moore, Addison *","['Paranormal', 'Angels', 'Young Adult', 'Fantasy', 'Paranormal Romance', 'Romance', 'Supernatural']"
Shadows and Strongholds FitzWarin 1,"Chadwick, Elizabeth *","['Historical Fiction', 'Historical', 'Medieval', 'Romance', 'Fiction', 'Historical Romance', 'British Literature']"
Love Unrehearsed Love 2,"Reber, Tina *","['Romance', 'Contemporary Romance', 'Contemporary', 'New Adult', 'Adult', 'Chick Lit', 'Love']"
The Way of All Flesh,"Butler, Samuel","['Classics', 'Fiction', 'Literature', 'Novels', 'British Literature', 'Victorian', 'Historical Fiction']"
Unwanted Fredrika Bergman and Alex Recht 1,"Ohlsson, Kristina","['Mystery', 'Crime', 'Thriller', 'Fiction', 'Sweden', 'Mystery Thriller', 'Scandinavian Literature']"
The Source,"Michener, James A.","['Historical Fiction', 'Fiction', 'Historical', 'Israel', 'Religion', 'Jewish', 'Novels']"
Jubei Bernardo Stallion 1,"Francesca, Sonia",['Romance']
Vacation Under the Volcano Magic Tree House 13,"Osborne, Mary Pope","['Childrens', 'Fantasy', 'Fiction', 'Historical Fiction', 'Chapter Books', 'Adventure', 'Middle Grade']"
Hawaii,"Michener, James A.","['Historical Fiction', 'Fiction', 'Historical', 'Classics', 'Travel', 'Novels', 'Epic']"
Appointment in Samarra,"O'Hara, John","['Fiction', 'Classics', 'Novels', 'Literature', 'American', 'Literary Fiction', '20th Century']"
Sister Carrie,"Dreiser, Theodore","['Classics', 'Fiction', 'Literature', 'American', 'Historical Fiction', 'Novels', 'Classic Literature']"
Chesapeake,"Michener, James A.","['Historical Fiction', 'Fiction', 'Historical', 'American History', 'Classics', 'Novels', 'Adventure']"
The Covenant,"Michener, James A.","['Historical Fiction', 'Fiction', 'Africa', 'Historical', 'South Africa', 'Novels', 'Classics']"
Another Little Piece,"Quinn, Kate Karyus *","['Young Adult', 'Horror', 'Paranormal', 'Mystery', 'Fantasy', 'Thriller', 'Fiction']"
The Nine Tailors Lord Peter Wimsey 11,"Sayers, Dorothy L.","['Mystery', 'Fiction', 'Crime', 'Classics', 'Mystery Thriller', 'British Literature', 'Detective']"
The Hippopotamus Pool Amelia Peabody 8,"Peters, Elizabeth","['Mystery', 'Historical Fiction', 'Fiction', 'Historical', 'Egypt', 'Historical Mystery', 'Adventure']"
Lord of the Silent Kingdom Instrumentalities of the Night 2,"Cook, Glen","['Fantasy', 'Fiction', 'War', 'Epic Fantasy', 'Magic', 'Epic', 'Dark Fantasy']"
Tigers Destiny The Tiger Saga 4,"Houck, Colleen *","['Fantasy', 'Young Adult', 'Romance', 'Mythology', 'Paranormal', 'Adventure', 'Magic']"
The Double Bind,"Bohjalian, Chris *","['Fiction', 'Mystery', 'Contemporary', 'Book Club', 'Adult Fiction', 'Adult', 'Mental Illness']"
Water Witches,"Bohjalian, Chris *","['Fiction', 'Contemporary', 'Magical Realism', 'Witches', 'Fantasy', 'Literary Fiction', 'Mystery']"
Bitterblue Graceling Realm 3,"Cashore, Kristin","['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Young Adult Fantasy', 'High Fantasy', 'Magic']"
Taken by Storm Raised by Wolves 3,"Barnes, Jennifer Lynn *","['Young Adult', 'Werewolves', 'Paranormal', 'Fantasy', 'Urban Fantasy', 'Romance', 'Shapeshifters']"
The Law of Similars,"Bohjalian, Chris *","['Fiction', 'Contemporary', 'Mystery', 'Literary Fiction', 'Novels', 'Adult Fiction', 'Medical']"
TransSister Radio,"Bohjalian, Chris *","['Fiction', 'LGBT', 'Queer', 'Novels', 'Contemporary', 'Transgender', 'Gender']"
The Buffalo Soldier,"Bohjalian, Chris *","['Fiction', 'Historical Fiction', 'Contemporary', 'Adoption', 'Book Club', 'Novels', 'Drama']"
Playing to Win Play by Play 4,"Burton, Jaci *","['Romance', 'Sports', 'Sports Romance', 'Contemporary Romance', 'Contemporary', 'Adult', 'Football']"
Gora,"Tagore, Rabindranath","['Fiction', 'India', 'Classics', 'Indian Literature', 'Historical Fiction', 'Novels', 'Literature']"
The Tie That Binds,"Haruf, Kent","['Fiction', 'Historical Fiction', 'Literary Fiction', 'Contemporary', 'Literature', 'Family', 'The United States Of America']"
House Under Snow Harvest Book,"Bialosky, Jill","['Fiction', 'Coming Of Age', 'Literary Fiction', 'Family']"
My Heart Remembers,"Sawyer, Kim Vogel *","['Historical Fiction', 'Christian Fiction', 'Fiction', 'Christian', 'Historical', 'Romance', 'Christian Historical Fiction']"
Morning Cup of Murder Lacy Steele Mysteries 1,"Bartal, Vanessa Gray *","['Mystery', 'Cozy Mystery', 'Romance', 'Mystery Thriller', 'Fiction', 'Chick Lit']"
I Survived the San Francisco Earthquake 1906 I Survived 5,"Tarshis, Lauren","['Historical Fiction', 'Fiction', 'Childrens', 'Middle Grade', 'Historical', 'Adventure', 'Chapter Books']"
Mercury,"Burns, Amy Jo *","['Fiction', 'Historical Fiction', 'Literary Fiction', 'Contemporary', 'Romance', 'Mystery', 'Family']"
Night Whispers Paradise 3,"McNaught, Judith","['Romance', 'Contemporary Romance', 'Contemporary', 'Romantic Suspense', 'Fiction', 'Suspense', 'Mystery']"
Kara Kitap,"Pamuk, Orhan","['Fiction', 'Turkish Literature', 'Turkish', 'Mystery', 'Novels', 'Literature', 'Nobel Prize']"
If I Should Die Revenants 3,"Plum, Amy *","['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Supernatural', 'Zombies']"
Me and Earl and the Dying Girl,"Andrews, Jesse *","['Young Adult', 'Contemporary', 'Fiction', 'Humor', 'Realistic Fiction', 'Coming Of Age', 'Banned Books']"
The Ginger Man,"Donleavy, J.P.","['Fiction', 'Classics', 'Ireland', 'Humor', 'Literature', 'Irish Literature', 'Novels']"
The Magnificent Ambersons,"Tarkington, Booth","['Fiction', 'Classics', 'Historical Fiction', 'Literature', 'Novels', 'American', 'Literary Fiction']"
Looking for Salvation at the Dairy Queen,"Gilmore, Susan Gregg *","['Fiction', 'Chick Lit', 'Southern', 'Coming Of Age', 'Contemporary', 'Adult Fiction', 'Young Adult']"
Defiance Significance 3,"Crane, Shelly *","['Paranormal', 'Young Adult', 'Romance', 'Fantasy', 'Paranormal Romance', 'Supernatural', 'Magic']"
Hot Ticket Sinners on Tour 3,"Cunning, Olivia *","['Romance', 'BDSM', 'Contemporary', 'Contemporary Romance', 'Music', 'Erotic Romance', 'Adult']"
Wicked Beat Sinners on Tour 4,"Cunning, Olivia *","['Romance', 'Music', 'Contemporary', 'Contemporary Romance', 'Erotic Romance', 'Adult', 'Erotica']"
Double Time Sinners on Tour 5,"Cunning, Olivia *","['Romance', 'Erotica', 'Menage', 'Contemporary', 'Music', 'M M F', 'Contemporary Romance']"
Power of the Sword The Courtneys Series Book 5,"Smith, Wilbur","['Historical Fiction', 'Fiction', 'Adventure', 'Africa', 'Thriller', 'Historical', 'Novels']"
Seating Arrangements,"Shipstead, Maggie *","['Fiction', 'Contemporary', 'Chick Lit', 'Literary Fiction', 'Adult Fiction', 'Family', 'Novels']"
The Spinoza Problem,"Yalom, Irvin D.","['Philosophy', 'Fiction', 'Psychology', 'Historical Fiction', 'Novels', 'Literature', 'Religion']"
Rapture Fallen 4,"Kate, Lauren *","['Fantasy', 'Young Adult', 'Romance', 'Angels', 'Paranormal', 'Paranormal Romance', 'Supernatural']"
The Devils Web Web 3,"Balogh, Mary","['Romance', 'Historical Romance', 'Historical', 'Historical Fiction', 'Regency', 'Fiction', 'Regency Romance']"
The Third Secret,"Berry, Steve *","['Thriller', 'Fiction', 'Mystery', 'Historical Fiction', 'Suspense', 'Mystery Thriller', 'Adventure']"
Sing Down the Moon,"O'Dell, Scott","['Historical Fiction', 'Young Adult', 'Fiction', 'Childrens', 'Historical', 'Middle Grade', 'Classics']"
Gangsta Granny,"Walliams, David","['Childrens', 'Fiction', 'Middle Grade', 'Humor', 'Adventure', 'Young Adult', 'Novels']"
Heartless Hunter The Crimson Moth 1,"Ciccarelli, Kristen *","['Fantasy', 'Romance', 'Young Adult', 'Fantasy Romance', 'Witches', 'Magic', 'Fiction']"
Tonight on the Titanic Magic Tree House 17,"Osborne, Mary Pope","['Fantasy', 'Childrens', 'Historical Fiction', 'Fiction', 'Chapter Books', 'Adventure', 'Middle Grade']"
Judgement in Death In Death 11,"Robb, J.D. *","['Mystery', 'Romance', 'Crime', 'Fiction', 'Romantic Suspense', 'Futuristic', 'Suspense']"
Whispers Glenbrooke 2,"Gunn, Robin Jones *","['Christian Fiction', 'Fiction', 'Christian', 'Romance', 'Contemporary', 'Christian Romance', 'Chick Lit']"
The Five Lives of Our Cat Zook,"Rocklin, Joanne *","['Realistic Fiction', 'Middle Grade', 'Animals', 'Cats', 'Juvenile', 'Childrens', 'Family']"
Wife 22,"Gideon, Melanie *","['Fiction', 'Chick Lit', 'Romance', 'Contemporary', 'Marriage', 'Adult', 'Adult Fiction']"
Trigger Samaniego 2 Stallion 51,"Francesca, Sonia","['Romance', 'Love']"
Dream When Youre Feeling Blue,"Berg, Elizabeth","['Historical Fiction', 'Fiction', 'World War II', 'Romance', 'Historical', 'Chick Lit', 'Adult Fiction']"
Talk Before Sleep,"Berg, Elizabeth","['Fiction', 'Chick Lit', 'Contemporary', 'Womens Fiction', 'Adult Fiction', 'Womens', 'Adult']"
Hit and Run,"McDaniel, Lurlene *","['Young Adult', 'Realistic Fiction', 'Fiction', 'Mystery', 'Contemporary', 'Romance', 'Drama']"
Reach for Tomorrow One Last Wish 12,"McDaniel, Lurlene *","['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Childrens', 'Teen']"
Brianas Gift,"McDaniel, Lurlene *","['Young Adult', 'Contemporary', 'Realistic Fiction', 'Fiction', 'Novels', 'Teen']"
All the Days of Her Life One Last Wish 10,"McDaniel, Lurlene *","['Young Adult', 'Romance', 'Fiction', 'Realistic Fiction', 'Teen', 'Contemporary', 'Inspirational']"
Someone Dies Someone Lives One Last Wish 4,"McDaniel, Lurlene *","['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Childrens', 'Teen']"
