title,author,answer,citation
Wild Roses,"Caletti, Deb","[1, ""Cassi Morgan""]","['https://www.goodreads.com/book/show/4453340-wild-roses', 'https://www.debcaletti.com/wild-roses', 'https://clarislam.ca/wild-roses-review/', 'https://heatherlo.wordpress.com/2009/12/23/wild-roses-by-deb-caletti/', 'https://www.thriftbooks.com/w/wild-roses_deb-caletti/411263/']"
Sarah Plain and Tall Sarah Plain and Tall 1,"MacLachlan, Patricia","[1, ""Sarah Wheaton""]","['https://study.com/academy/lesson/sarah-plain-and-tall-summary-characters.html', 'https://en.wikipedia.org/wiki/Sarah,_Plain_and_Tall', 'https://www.goodreads.com/book/show/121460', 'https://study.com/academy/lesson/anna-from-sarah-plain-and-tall.html', 'https://www.pluggedin.com/book-reviews/sarah-plain-and-tall/']"
Christine,"King, Stephen","[1, ""Leigh Cabot""]","['https://rue-morgue.com/muscle-cars-and-trophy-girlfriends-objectification-and-women-as-status-symbols-in-christine/', 'https://stephenking.com/works/novel/christine.html', 'https://www.imdb.com/title/tt0085333/', 'https://en.wikipedia.org/wiki/Christine_(1983_film)', 'https://charnelhouse.tripod.com/christine.html']"
The Twelfth Card Lincoln Rhyme 6,"Deaver, Jeffery","[1, ""Amelia Sachs""]","['https://app.thestorygraph.com/book_reviews/521f2b6c-510b-4c1b-9622-dff9b5e587ce?page=3', 'https://www.goodreads.com/book/show/1050424.The_Twelfth_Card', 'http://www.publishersweekly.com/9780743544337', 'https://www.hobbystash.com/reading/book-reviews/crimedetective/the-twelfth-card-by-jeffrey-deaver/', 'https://newbookrecommendation.com/summary-of-the-twelfth-card-by-jeffery-deaver-a-detailed-synopsis/']"
Deadspeak Necroscope 4,"Lumley, Brian","[1, ""Zek Foener""]","['https://www.goodreads.com/book/show/6488076', 'https://www.brianlumley.com/forum/index.php?%2Ftopic%2F1084-deadspeak%2F&do=findComment&comment=18218', 'https://www.goodreads.com/book/show/129687750', 'https://en.wikipedia.org/wiki/Necroscope_IV:_Deadspeak', 'https://www.librarycat.org/lib/bluenose/item/24668294']"
The First Lady,"Weber, Carl","[1, ""Charlene Wilson""]","['https://www.goodreads.com/book/show/106340.The_First_Lady', 'https://chipublib.bibliocommons.com/v2/record/S126C1125780', 'https://www.goodreads.com/book/isbn/9781496728548', 'https://www.barnesandnoble.com/w/the-first-lady-carl-weber/1100307623', 'https://discover.mylibraryworld.com/responsive?section=resource&resourceid=8983595']"
Little Lady Big Apple The Little Lady Agency 2,"Browne, Hester","[1, ""Melissa Romney-Jones""]","['https://www.goodreads.com/book/show/135013268', 'https://www.everand.com/book/225126106/Little-Lady-Big-Apple', 'https://www.barnesandnoble.com/w/little-lady-big-apple-hester-browne/1100335190', 'https://app.thestorygraph.com/book_reviews/95f15c2f-77f5-4925-8d1b-4aa756cc81a2?page=2', 'https://www.desaraeveit.com/2015/03/little-lady-big-apple-by-hester-browne.html?m=0']"
The Coma,"Garland, Alex","[1, ""Christine""]","['https://samquixote.blogspot.com/2015/02/the-coma-by-alex-garland-review.html', 'https://newbookrecommendation.com/summary-of-the-coma-by-alex-garland-a-detailed-synopsis/', 'https://www.goodreads.com/book/show/640213', 'https://www.kirkusreviews.com/book-reviews/alex-garland/the-coma/', 'https://www.independent.co.uk/arts-entertainment/books/reviews/the-coma-by-alex-garland-553305.html']"
Past Perfect,"Sales, Leila","[1, ""Chelsea Glaser""]","['https://bookbrief.io/books/past-perfect-leila-sales/character-analysis', 'https://slatebreakers.com/2011/11/28/review-past-perfect-by-leila-sales/', 'https://goodbooksandgoodwine.com/2011/08/past-perfect-by-leila-sales-book-review.html', 'https://musesofabooknerd.wordpress.com/2015/07/06/book-talk-past-perfect-by-leila-sales/', 'https://foreveryoungadult.com/book-report/i-want-to-start-a-ya-colony-with-chelsea-connelly/']"
The Pledge The Pledge 1,"Derting, Kimberly","[1, ""Charlaina""]","['https://www.goodreads.com/book/show/10637748-the-pledge', 'https://www.goodreads.com/book/show/11253892', 'https://yabookscentral.com/the-pledge-the-pledge-1/', 'https://agelesspagesreviews.blogspot.com/2011/11/review-pledge-by-kimberly-derting.html', 'https://pagesplotsandpints.com/2012/12/21/the-pledge-the-pledge-1-kimberly-derting/']"
Silence Hush Hush 3,"Fitzpatrick, Becca","[1, ""Nora Grey""]","['https://www.goodreads.com/book/show/12581738-silence', 'https://lisalovesliterature.bookblog.io/2012/09/20/silence-hush-hush-3-by-becca-fitzpatrick/', 'https://yabookscentral.com/silence-hush-hush-saga/', 'https://en.wikipedia.org/wiki/Hush,_Hush_(series)', 'https://booksnacksblog.wordpress.com/2015/04/21/silence-by-becca-fitzpatrick/']"
Breadcrumbs,"Ursu, Anne","[1, ""Hazel Anderson""]","['https://slatebreakers.com/2011/12/08/review-breadcrumbs-by-anne-ursu/', 'https://feedyourfictionaddiction.com/2018/09/breadcrumbs-by-anne-ursu-a-classroom-reading-review.html', 'https://sffbookreview.wordpress.com/2012/06/16/anne-ursu-breadcrumbs/', 'https://www.rainbowkids.com/adoption-stories/chapter-book-review-breadcrumbs-by-anne-ursu-1336', 'https://scififantasylitchick.wordpress.com/2022/12/01/book-review-breadcrumbs/']"
The Coldest Winter Ever The Coldest Winter Ever 1,"Souljah, Sister","[1, ""Winter Santiaga""]","['https://en.wikipedia.org/wiki/The_Coldest_Winter_Ever', 'https://grabthelapels.com/2021/04/13/the-coldest-winter-ever/', 'https://equalopportunityreader.com/2021/08/04/review-the-coldest-winter-ever-by-sister-souljah/', 'https://www.supersummary.com/the-coldest-winter-ever/major-character-analysis/', 'https://forums.onlinebookclub.org/viewtopic.php?t=3959']"
112263,"King, Stephen","[1, ""Sadie Dunhill""]","['https://ginadebacker.wordpress.com/2015/02/26/book-review-112263-by-stephen-king/', 'https://filmfrolic.wordpress.com/2017/09/25/the-appearance-of-beverly-marsh-and-richie-tozier-in-stephen-kings-112263/', 'https://justalrightreviews.com/2016/11/29/my-thoughts-on-112263/', 'https://stephgrossman.com/2012/05/08/112263/', 'http://brianbookreviews.blogspot.com/2012/01/112263-by-stephen-king.html']"
Bliss The Bliss Bakery 1,"Littlewood, Kathryn","[1, ""Rosemary Bliss""]","['https://www.goodreads.com/book/show/11595931', 'https://stephanietiner.weebly.com/middle-grade-reviews/bliss-the-bliss-bakery-1-by-kathryn-littlewood', 'http://bookaunt.blogspot.com/2011/12/review-of-bliss-by-kathryn-littlewood.html', 'https://www.librarything.com/character/Thyme+Bliss', 'https://www.thebookbag.co.uk/reviews/The_Bliss_Bakery_Trilogy_1_-_Bliss_by_Kathryn_Littlewood']"
The Storytellers Daughter,"Dokey, Cameron","[1, ""Shahrazad""]","['https://goodreads.com/book/show/7687501.The_Storyteller_s_Daughter', 'https://app.thestorygraph.com/book_reviews/e82e1da5-2d62-4f18-a841-ee95eeaabdf7', 'https://reviews.booksthatburn.com/2022/08/the-storytellers-daughter-by-cameron.html', 'https://www.blinkist.com/en/books/the-storytellers-daughter-en', 'https://www.barnesandnoble.com/w/the-storytellers-daughter-cameron-dokey/1008075078']"
The Antelope Wife,"Erdrich, Louise","[1, ""Sweetheart Calico""]","['https://www.enotes.com/topics/antelope-wife/characters', 'https://www.vaia.com/en-us/explanations/english-literature/american-literature/antelope-wife/', 'https://thegreatbookwyrm.home.blog/2020/07/25/antelope-woman-by-louise-erdrich/', 'https://www.supersummary.com/the-antelope-wife/major-character-analysis/', 'https://repozitorij.ffos.hr/islandora/object/ffos:1271/datastream/PDF/view']"
A Dangerous Love Swanlea Spinsters 1,"Jeffries, Sabrina","[1, ""Rosalind Laverick""]","['https://www.goodreads.com/book/similar/102703-a-dangerous-love', 'https://www.goodreads.com/list/show/98317._Rosalind_', 'https://www.romance.io/topics/best/competent%20heroine,virgin%20heroine/78', 'https://www.romance.io/topics/most/working%20class%20hero,virgin%20heroine/9', 'https://allaboutromance.com/book-review/a-dangerous-love-2/']"
Fire with Fire Burn for Burn 2,"Han, Jenny","[1, ""Lillia""]","['https://www.goodreads.com/book/show/17334131', 'https://foreveryoungadult.com/book-report/fire-with-fire/', 'https://www.romance.io/authors/545529088c7d2382c52970b9/jenny-han', 'https://www.goodreads.com/list/show/100267.The_Redemption_of_the_Mean_Girl', 'http://everythingalyce.blogspot.com/2015/03/the-winners-curse-winners-trilogy-1-by.html']"
Ashes to Ashes Burn for Burn 3,"Han, Jenny","[1, ""Lillia Cho""]","['https://www.goodreads.com/book/show/10662433', 'http://everythingalyce.blogspot.com/2015/09/ashes-to-ashes-burn-for-burn-3-by-jenny.html', 'https://drizzleandhurricanebooks.com/2015/02/28/review-ashes-to-ashes-burn-for-burn-3-jenny-han-siobhan-vivian/', 'https://foreveryoungadult.com/book-report/ashes-to-ashes/', 'http://thatgirlybookworm.blogspot.com/2015/04/ashes-to-ashes-by-jenny-han-and-siobhan.html']"
The Doomsday Conspiracy,"Sheldon, Sidney","[0, """"]","['https://en.wikipedia.org/wiki/The_Doomsday_Conspiracy', 'https://www.enotes.com/topics/doomsday-conspiracy/characters', 'https://www.goodreads.com/book/show/7618571-the-doomsday-conspiracy', 'https://www.kirkusreviews.com/book-reviews/sidney-sheldon/the-doomsday-conspiracy/', 'https://newbookrecommendation.com/summary-of-the-doomsday-conspiracy-by-sidney-sheldon/']"
Memories of Midnight,"Sheldon, Sidney","[1, ""Catherine Douglas""]","['https://en.wikipedia.org/wiki/Memories_of_Midnight', 'https://www.goodreads.com/book/show/106648.Memories_of_Midnight', 'https://www.goodreads.com/book/show/869918', 'https://www.librarything.com/work/10251', 'https://bookbrief.io/books/memories-of-midnight-sidney-sheldon/summary']"
The Postmortal,"Magary, Drew","[0, """"]","['https://opinionsofawolf.com/2014/08/23/book-review-the-postmortal-by-drew-magary/', 'https://www.goodreads.com/book/show/12499756-the-postmortal', 'https://pubs.lib.umn.edu/index.php/jcotr/article/download/2812/2220', 'https://www.kirkusreviews.com/book-reviews/drew-magary/postmortal/', 'https://paperknife.wordpress.com/2012/04/21/the-end-specialist-drew-magary/']"
Whispers in the Dark KGI 4,"Banks, Maya","[1, ""Shea""]","['https://www.goodreads.com/book/show/10675183-whispers-in-the-dark', 'https://www.barnesandnoble.com/w/whispers-in-the-dark-maya-banks/1102499253', 'https://mayabanks.com/books/whispers/', 'https://www.barnesandnoble.com/w/whispers-in-the-dark-maya-banks/1102499253?bvstate=pg%3A2%2Fct%3Ar', 'https://smexybooks.com/2012/01/review-whispers-in-the-dark-by-maya-banks.html']"
Article 5 Article 5 1,"Simmons, Kristen","[1, ""Ember Miller""]","['https://en.wikipedia.org/wiki/Article_5_(novel)', 'https://www.readerpants.net/2013/04/review-article-5-simmons.html', 'https://stackedbooks.org/article-5-by-kristen-simmons/', 'https://www.goodreads.com/book/show/15793096-article-5', 'https://www.nosegraze.com/article-5-by-kristen-simmons/']"
Bend It Like Beckham,"Dhami, Narinder","[1, ""Jesminder 'Jess' Bhamra""]","['https://www.teachingenglish.org.uk/sites/teacheng/files/bendit_characterisation.pdf', 'https://en.wikipedia.org/wiki/Bend_It_Like_Beckham', 'https://www.bookey.app/book/bend-it-like-beckham', 'https://www.goodreads.com/book/show/19480801', 'https://magazine.catapult.co/column/stories/the-women-who-dont-bend-in-bend-it-like-beckham-sepia-tone-diaspora-films-nadya-agrawal']"
Tooth Trouble Ready Freddy 1,"Klein, Abby","[0, """"]","['https://amaratanith.wordpress.com/2014/05/24/book-review-tooth-trouble-ready-freddy-1-by-abby-klein/', 'https://exmon01.external.cshl.edu/form-library/virtual-library/download/ready_freddy_tooth_trouble.pdf', 'https://www.goodreads.com/book/similar/1055229-ready-freddy-tooth-trouble-ready-freddy', 'https://e2shi.jhu.edu/form-library/Resources/_pdfs/ready_freddy_tooth_trouble.pdf/', 'https://www.bookseriesinorder.com/abby-klein/']"
The Crippled God Malazan Book of the Fallen 10,"Erikson, Steven","[1, """"]","['https://theses.cz/id/z619ab/zavodska_thesis_female_characters_in_malazan_book_of_the_.pdf', 'https://forum.malazanempire.com/topic/21028-themes-of-the-crippled-god-plus-my-thoughts-in-general-on-what-it-means-spoilers/', 'https://asoiaf.westeros.org/index.php?%2Ftopic%2F48082-the-crippled-god-by-steven-erikson%2F', 'https://en.wikipedia.org/wiki/Malazan_Book_of_the_Fallen', 'https://elflands2ndcousin.com/2011/03/02/review-the-crippled-god-malazan-book-of-the-fallen-book-10-by-steven-erikson/']"
The Big Love,"Dunn, Sarah","[1, ""Alison Hopkins""]","['https://www.goodreads.com/book/show/8256974', 'https://www.everydayiwritethebookblog.com/2006/09/the-big-love/', 'https://www.barnesandnoble.com/w/the-big-love-sarah-dunn/1100306568', 'https://www.readinggroupguides.com/reviews/the-big-love/guide', 'http://bookloons.com/cgi-bin/Review.ASP?bookid=3257']"
Wicked,"Cooper, Jilly","[1, ""Janna Curtis""]","['https://en.wikipedia.org/wiki/Wicked!', 'https://www.goodreads.com/book/show/636824', 'https://assets.thestorygraph.com/book_reviews/97e4f591-1c16-4a51-8a6e-b1049d398274', 'https://en.wikipedia.org/wiki/Jilly_Cooper', 'https://www.librarything.com/work/829840']"
I Heard the Owl Call My Name,"Craven, Margaret","[0, """"]","['https://www.bookrags.com/lessonplan/owl-call-my-name/characters.html', 'https://quizlet.com/130419622/i-heard-the-owl-call-my-name-characters-flash-cards/', 'https://www.encyclopedia.com/arts/encyclopedias-almanacs-transcripts-and-maps/i-heard-owl-call-my-name', 'https://www.supersummary.com/i-heard-the-owl-call-my-name/themes/', 'https://www.librarything.com/work/85693']"
Ice Moon,"Wagner, Jan Costin","[0, """"]","['https://crossexaminingcrime.wordpress.com/2016/03/14/ice-moon-2003-by-jan-costin-wagner/', 'https://swiftlytiltingplanet.wordpress.com/2015/11/03/ice-moon-jan-costin-wagner/', 'http://www.eurocrime.co.uk/reviews/Ice_Moon_2.html', 'https://www.reviewingtheevidence.com/review.html?id=5781', 'https://mrspeabodyinvestigates.com/2012/01/19/18-jan-costin-wagner-the-winter-of-the-lions/']"
Breaking Stalins Nose,"Yelchin, Eugene","[0, """"]","[""https://en.wikipedia.org/wiki/Breaking_Stalin's_Nose"", 'https://www.supersummary.com/breaking-stalins-nose/major-character-analysis/', 'https://www.eugeneyelchin.com/breaking-stalins-nose', 'https://read-write-love.weebly.com/blog/-genre-5-featured-historical-novel-breaking-stalins-nose', 'https://www.supersummary.com/breaking-stalins-nose/summary/']"
Gozba za vrane deo drugi Pesma leda i vatre 4,"Martin, George R.R.","[1, ""Cersei Lannister""]","['https://pt.scribd.com/doc/240146148/Knjige-odnekud', 'https://api.goglasi.com/kolekcionarstvo-i-umetnost/knjige/knjizevnost/search?categoryId=64&price=7500_69999&start=25', 'https://fr.scribd.com/doc/240145080/Spisak-Knjiga-u-Grupi', 'https://ru.scribd.com/doc/240146148/Knjige-odnekud', 'https://sr.wikipedia.org/sr-el/%D0%98%D0%B3%D1%80%D0%B0_%D0%BF%D1%80%D0%B5%D1%81%D1%82%D0%BE%D0%BB%D0%B0_(%D0%A2%D0%92_%D1%81%D0%B5%D1%80%D0%B8%D1%98%D0%B0)']"
Alex Camille Verhven 2,"Lemaitre, Pierre","[1, ""Alex Prevost""]","['https://www.goodreads.com/book/show/35894605-alex', 'https://en.wikipedia.org/wiki/Alex_(Verh%C5%93ven_series)', 'https://www.mkhill.uk/blog/entry/the-intel-pierre-lemaitre', 'https://crimethrillerfella.wordpress.com/tag/alex/', 'https://www.barnesandnoble.com/w/alex-pierre-lemaitre/1124335825']"
When in Rome,"Townley, Gemma","[1, ""Georgie Beauchamp""]","['https://www.penguinrandomhouse.com/books/179810/when-in-rome-by-gemma-townley/', 'https://www.goodreads.com/book/show/874296', 'https://www.bookey.app/book/when-in-rome-by-gemma-townley', 'https://esmeaddison.com/2021/11/01/when-in-rome-not-the-saying-but-the-book-by-gemma-townley/', 'https://booksaroundtheworld.wordpress.com/tag/gemma-townley/']"
Cemetery Girl,"Bell, David","[1, ""Caitlin Stuart""]","['https://www.goodreads.com/book/show/10700016', 'https://crimefictionlover.com/2015/02/cemetery-girl/', 'https://davidbellnovels.com/cemetery-girl-excerpt/', 'https://www.carpelibrum.net/2013/08/review-cemetery-girl-david-bell.html', 'https://lindasbookobsession.blog/2018/02/08/lindas-book-obsession-interviews-david-bell-author-of-cemetery-girl/']"
Ghetto Cowboy the inspiration for Concrete Cowboy,"Neri, G.","[0, """"]","['https://www.historyvshollywood.com/reelfaces/concrete-cowboy/', 'https://en.wikipedia.org/wiki/Concrete_Cowboy', 'https://www.harpersbazaar.com/culture/film-tv/a36027157/concrete-cowboy-fletcher-street-riding-club/', 'https://dailyorange.com/2021/04/concrete-cowboy-idris-elba-netflix-ghetto-cowboy-g-neri/', 'https://depauliaonline.com/53259/artslife/film-tv/review-concrete-cowboy-puts-a-modern-philly-spin-on-the-old-hollywood-western/']"
Reckoning Strange Angels 5,"St. Crow, Lili","[1, ""Dru Anderson""]","['https://www.goodreads.com/book/show/13252987', 'https://www.perusingtheshelves.com/bookstore-cafe/is-anyone-else-disappointed-in-reckoning-strange-angels-5-by-lilith-saintcrow/', 'https://somanyybookssolittletime.wordpress.com/2013/04/18/reckoning-strange-angels-5-by-lili-st-crow-lilith-saintcrow/', 'https://www.romance.io/authors/5455368a8c7d2382e0414274/lilith-saintcrow', 'https://www.goodreads.com/topic/show/1289870-graves-and-christophe-strange-angels']"
God Knows,"Heller, Joseph","[0, """"]","['https://www.goodreads.com/book/show/1697454', 'https://www.lucydanser.co.uk/blog/book-review-god-knows', 'https://www.kirkusreviews.com/book-reviews/joseph-heller/god-knows/', 'https://50bookchallenge.livejournal.com/13773008.html', 'https://www.bookey.app/quote-book/god-knows']"
Picture This,"Heller, Joseph","[0, """"]","['https://www.kirkusreviews.com/book-reviews/joseph-heller/picture-this-2/?page=32', 'https://go.gale.com/ps/i.do?id=GALE%7CA240916743&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=03031896&p=AONE&sw=w', 'https://www.degruyterbrill.com/document/doi/10.1515/9780773576285-003/pdf?licenseType=restricted', 'https://www.latimes.com/archives/la-xpm-1988-10-02-bk-5167-story.html', 'https://theasylum.wordpress.com/2012/02/15/joseph-heller-something-happened/']"
Kidnapped Uncommon Heroes Book 4,"Henderson, Dee","[1, ""Caroline Lane""]","['https://www.goodreads.com/book/show/3373759', 'https://www.christianbook.com/kidnapped-dee-henderson/9781414323633/pd/323633', 'https://www.goodreads.com/book/show/359459.True_Courage', 'http://www.deehenderson.com/bookdetails.html', 'https://www.librarything.com/nseries/7177/Uncommon-Heroes']"
Destiny Binds Timber Wolves Trilogy 1,"Blackwell, Tammy","[1, ""Scout Donovan""]","['https://www.goodreads.com/book/show/16169553', 'https://www.goodreads.com/characters/66195-jase-donovan', 'https://www.romance.io/series/58fe0be29096bf31c42d3179/timber-wolves-trilogy', 'http://www.theresamjones.com/2012/12/review-destiny-binds-timber-wolves-1.html', 'https://celebrityreaders.com/2017/09/10/blood-guard-by-megan-erickson/']"
The Perfect Assassin David Slaton 1,"Larsen, Ward","[1, ""Christine Palmer""]","['https://www.goodreads.com/book/show/12407', 'https://www.goodreads.com/group/bookshelf/53121-action-adventure-aficionados?order=d&per_page=30&shelf=assassin&sort=shelves&view=main', 'https://scagi.com/gr/', 'https://spyguysandgals.com/sgShowChar.aspx?id=1323', 'https://www.goodreads.com/book/show/10713975-the-perfect-assassin']"
Good As Gold,"Heller, Joseph","[1, ""Andrea Conover""]","['https://www.goodreads.com/book/show/10714', 'https://www.goodreads.com/book/show/41029409', 'https://www.enotes.com/topics/good-gold/in-depth', 'https://www.jstor.org/stable/466949', 'https://www.etsy.com/listing/1319031724/vintage-1979-good-as-gold-by-joseph']"
Only Yours Fools Gold 5,"Mallery, Susan","[1, ""Montana Hendrix""]","['https://www.goodreads.com/book/show/10714906-only-yours', 'https://www.susanmallery.com/pdf/susan-mallery-characters.pdf', 'https://www.harlequin.com/shop/books/9781460393932_susan-mallery-fools-gold-series-volume-five.html', 'https://www.bookrackjackson.com/product/252345/Only-Yours-Fools-Gold-Book-5-Mallery-Susan', 'https://www.alwayswithabook.com/2013/11/review-only-yours-by-susan-mallery.html']"
Something Happened,"Heller, Joseph","[0, """"]","['https://theasylum.wordpress.com/2012/02/15/joseph-heller-something-happened/', 'https://www.ebsco.com/research-starters/literature-and-writing/something-happened-analysis-major-characters', 'https://www.enotes.com/topics/something-happened/characters', 'https://app.thestorygraph.com/book_reviews/d1578f1e-2c55-4da2-b341-a3d75289cf2d?page=6', 'https://www.ebsco.com/research-starters/literature-and-writing/something-happened-joseph-heller']"
Wicked Games Games 1,"Clare, Jessica","[1, ""Abby Lewis""]","['https://www.goodreads.com/book/show/18146962-wicked-games', 'https://www.goodreads.com/book/show/10719342-wicked-games', 'https://www.bookbub.com/books/wicked-games-by-jessica-clare', 'https://www.barnesandnoble.com/w/wicked-games-jill-myles/1100740205', 'https://www.librarycat.org/lib/Catigerine/item/275481920']"
The Abduction Theodore Boone 2,"Grisham, John","[1, ""April Finnemore""]","['https://www.goodreads.com/characters/88813-april-finnemore', 'https://www.goodreads.com/book/show/12103451', 'https://www.bookshare.org/browse/grade?offset=28575&resultsView=LIST&grade=FIFTH_GRADE', 'https://steamboatbooks.com/book/9780142426135', 'https://gallerybookshop.com/book/9780147510181']"
Coram Boy,"Gavin, Jamila","[1, ""Melissa""]","['https://www.goodreads.com/book/show/1018397', 'https://chaseterraceacademy.co.uk/wp-content/uploads/2021/05/Term2_Yr9_Coram_Boy.pdf', 'https://www.straight.com/article-161764/characters-complex-plot-stymie-coram-boy', 'https://www.cft.org.uk/events/coram-boy', 'https://jamilagavin.com/coram-boy-as-theatre/']"
Ryans Return,"Freethy, Barbara","[1, ""Kara Delaney""]","['https://www.goodreads.com/book/show/54828295-ryan-s-return', 'https://barbarafreethy.com/products/ryans-return', 'http://cathysbookcorner.co.uk/ryans-return-barbara-freethy/', 'https://discover.bklynlibrary.org/item?b=12270914', 'https://play.google.com/store/books/details/Ryan_s_Return?id=CzBkGVyyEkkC']"
The Thirteenth Unicorn,"Newman, W.D.","[0, """"]","['https://www.goodreads.com/book/show/12711719-the-thirteenth-unicorn', 'https://www.everand.com/book/211674962/The-Thirteenth-Unicorn', 'https://exploringallgenres.com/unread-books-i-want-to-read-soon/', 'https://www.weberbooks.com/kindle/page/4664/?myOperation=SellerListingSearch&SellerId=A2KLDMQ1YW9KP8', 'https://www.librarything.com/work/9806957']"
The Righteous Men The biggest challenger to Dan Browns crown Mirror,"Bourne, Sam","[1, ""TC""]","['https://app.thestorygraph.com/book_reviews/2817920a-8669-475b-af48-72e44b02b356', 'https://www.reviewingtheevidence.com/review.html?id=5793', 'https://www.simonandschuster.com/books/The-Righteous-Men/Dennis-Boutsikaris/9780743565288', 'https://www.reviewingtheevidence.com/review.html?id=6170', 'https://unseenlibrary.com/tag/sam-bourne/']"
A Town Like Alice,"Shute, Nevil","[1, ""Jean Paget""]","['https://en.wikipedia.org/wiki/A_Town_Like_Alice', 'https://en.wikipedia.org/wiki/A_Town_Like_Alice_(film)', 'https://www.litreadernotes.com/home/2025/1/16/a-town-like-alice', 'https://www.imdb.com/title/tt0049871/', 'https://karissareadsbooks.com/2018/07/27/book-review-a-town-like-alice-by-nevil-shute/']"
Bluefish,"Schmatz, Pat","[1, ""Velveeta""]","['https://talesforallages.com/bluefish-by-pat-schmatz/', 'https://www.goodreads.com/book/show/13071845-bluefish', 'https://nerdybookclub.wordpress.com/2012/04/04/bluefish-by-pat-schmatz/', 'https://www.supersummary.com/bluefish/summary/', 'https://www.goodreads.com/book/show/10734210-bluefish']"
The Moviegoer,"Percy, Walker","[0, """"]","['https://www.litcharts.com/lit/the-moviegoer/characters', 'https://journals.lib.unb.ca/index.php/IFR/article/download/14302/15379/19038', 'https://en.wikipedia.org/wiki/The_Moviegoer', 'https://www.enotes.com/topics/moviegoer/characters', 'https://go.gale.com/ps/i.do?id=GALE%7CA91399163&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00344346&p=LitRC&sw=w']"
Rainbows End,"Flynn, Katie","[1, ""Ada Docherty""]","['https://booksmandala.com/books/rainbows-end-14566', 'https://www.theworks.co.uk/p/fiction-book-sale/rainbows-end/9781787463875.html', 'https://www.bookseriesinorder.com/katie-flynn/', 'https://panizzn.wordpress.com', 'https://www.imdb.com/title/tt1638002/fullcredits/']"
Adaptation Adaptation 1,"Lo, Malinda","[1, ""Reese Holloway""]","['https://slatebreakers.com/2012/12/31/review-adaptation-by-malinda-lo/', 'https://www.thebooksmugglers.com/2012/10/joint-review-adaptation-by-malinda-lo.html', 'https://intellectusspeculativus.wordpress.com/2014/07/11/adaptation-by-malinda-lo/', 'https://www.geekquality.com/adaptation/', 'https://sffbookreview.wordpress.com/2014/05/04/malinda-lo-adaptation/']"
Spring Moon A Novel of China,"Lord, Bette Bao","[1, ""Spring Moon""]","['https://www.goodreads.com/book/show/107456', 'https://www.goodreads.com/book/show/107456.Spring_Moon', 'https://www.paperbackswap.com/Spring-Moon-Novel-Bette-Bao-Lord/book/0380599236/', 'https://www.enotes.com/topics/bette-bao-lord/criticism/joey-bonner', 'https://www.gradesaver.com/spring-moon']"
Chowringhee,Sankar,"[0, """"]","['https://en.wikipedia.org/wiki/Chowringhee_(film)', 'https://www.complete-review.com/reviews/bengali/sankar.htm', 'https://en.wikipedia.org/wiki/Chowringhee_(novel)', 'https://www.goodreads.com/book/show/13610265-chowringhee', 'https://rupkatha.com/V8/n1/29_shankar_chowringhee.pdf']"
Study Trilogy Collection Poison Study Magic Study Fire Study,"Snyder, Maria V.","[1, ""Yelena""]","['https://www.harlequin.com/shop/books/9780778368243_fire-study.html', 'https://www.goodreads.com/book/show/60510.Poison_Study', 'https://pooledink.com/2021/02/03/poison-study-trilogy/', 'https://storyandsomnomancy.com/2016/03/06/review-fire-study-by-maria-v-snyder/', 'https://www.theramblingbooknerd.com/post/magic-study-by-maria-v-snyder-book-review']"
This Calder Sky,"Dailey, Janet","[1, ""Maggie O'Rourke""]","['https://www.goodreads.com/book/show/4464645', 'https://www.simonandschuster.com/books/This-Calder-Sky/Janet-Dailey/9780671040512', 'https://www.librarything.com/work/179813', 'https://bookscouter.com/blog/janet-dailey-books/', 'https://www.bookseries.org/series/calder-saga/']"
Telegraph Avenue,"Chabon, Michael","[1, ""Gwen""]","['http://dreaminginbooks.blogspot.com/2012/09/blog-tour-telegraph-avenue-by-michael.html', 'http://wrongquestions.blogspot.com/2012/09/telegraph-avenue-by-michael-chabon.html', 'https://www.tabletmag.com/sections/arts-letters/articles/pulpless-fiction', 'https://bridefied.wordpress.com/2013/02/13/telegraph-avenue-character-alley/', 'https://www.thecrimson.com/article/2012/9/18/telegraph_avenue_review/']"
Shut Out Hamilton High 2,"Keplinger, Kody","[1, ""Lissa""]","['https://www.goodreads.com/book/show/19090353', 'https://www.goodreads.com/book/show/10757771-shut-out', 'https://www1604.dailystandard.com/fetch.php/browse/manual-006/ShutOutKodyKeplinger.pdf', 'https://foreveryoungadult.com/book-report/why-dont-all-boys-next-door-come-in-tall-lanky-and-genius/', 'https://foreveryoungadult.com/voices/gender/']"
How to Save a Life,"Zarr, Sara","[1, ""Jill MacSweeney""]","['https://everyday-reading.com/how-to-save-life-by-sara-zarr/', 'http://www.sarazarr.com/how-to-save-a-life', 'https://wrappedupinbooks.org/2013/05/27/how-to-save-a-life-by-sara-zarr/', 'https://www.goodreads.com/book/show/43311831', 'https://www.goodreads.com/book/show/10757806-how-to-save-a-life']"
